title,url,price_numeric,municipality,condition,ad_type,property_type,rooms,square_m2,equipment,level,heating,price_per_m2
Stan Sarajevo - Novo Sarajevo 60m2 - [Iznajmljivanje],https://olx.ba/artikal/71820105,700.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,60.0,Namješten,5,Centralno (gradsko),11.666666666666666
Stan vrhunska lokacija kod Vijećnice 45m2 - [Iznajmljivanje],https://olx.ba/artikal/67855621,700.0,Sarajevo - Stari Grad,Parcijalno renoviran,Iznajmljivanje,Stan,1.0,45.0,Namješten,0,Plin,15.555555555555555
Dvosoban Stan Sarajevo - Dobrinja 5 Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/71487493,700.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,2.0,56.0,Namješten,3,Centralno (gradsko),12.5
Dvosoban stan /Grbavica / Kemala Kapetanovića - [Iznajmljivanje],https://olx.ba/artikal/71783243,700.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,52.0,Namješten,9,Struja,13.461538461538462
Jednosoban stan Mejtaš/Centar 50m2 - [Iznajmljivanje],https://olx.ba/artikal/71243329,700.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,1.0,50.0,Namješten,1,Centralno (Plin),14.0
Stan Sarajevo - Centar - [Iznajmljivanje],https://olx.ba/artikal/65373211,700.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,2.0,54.0,Namješten,1,Centralno (Plin),12.962962962962964
Stan Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/71857795,700.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,3.0,72.0,Namješten,8,Centralno (gradsko),9.72222222222222
Stan Sarajevo - Novo Sarajevo 58m2 - [Iznajmljivanje],https://olx.ba/artikal/71674394,700.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,58.0,Namješten,18,Centralno (gradsko),12.06896551724138
"Lijepo namješten dvosoban stan, Skenderija - [Iznajmljivanje]",https://olx.ba/artikal/71707797,700.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,2.0,40.0,Namješten,8,Centralno (gradsko),17.5
Stan Sarajevo - Centar - [Iznajmljivanje],https://olx.ba/artikal/71602441,700.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,2.0,54.0,Namješten,1,Plin,12.962962962962964
Stan Sarajevo - Valtera Perića 10 - [Iznajmljivanje],https://olx.ba/artikal/71512721,700.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,1.0,30.0,Namješten,4,Plin,23.33333333333333
Stan Sarajevo - Centar-Koševo - 35m2 - [Iznajmljivanje],https://olx.ba/artikal/71588275,700.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,1.0,35.0,Namješten,2,Struja,20.0
Stan Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/70905488,700.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,4.0,77.0,Namješten,8,Centralno (gradsko),9.090909090909092
Trosoban stan 66 m2 Dobrinja 3 Novi grad - [Iznajmljivanje],https://olx.ba/artikal/37126193,700.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,3.0,66.0,Namješten,2,Centralno (gradsko),10.606060606060606
Stanovi i apartmani Sarajevo - Novi Grad DOBRINJA 5 - [Iznajmljivanje],https://olx.ba/artikal/71816461,700.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,3.0,70.0,Namješten,5,Centralno (gradsko),10.0
DVOSOBAN SA GARAZOM DOLAC MALTA*CITAJ OPIS - [Iznajmljivanje],https://olx.ba/artikal/71822741,700.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,57.0,Namješten,2,Centralno (gradsko),12.280701754385966
Izdajem stan i garažu na Dobrinji 4 - [Iznajmljivanje],https://olx.ba/artikal/59848352,700.0,Sarajevo - Centar,Novogradnja,Iznajmljivanje,Stan,2.0,43.0,Namješten,2,Struja,16.27906976744186
"PROSTOR izdaje: Dvosoban stan, 50m2, Šip - [Iznajmljivanje]",https://olx.ba/artikal/71847424,700.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,2.0,50.0,Namješten,1,Plin,14.0
"Renoviran 1,5-soban K.Brdo/Plato - [Iznajmljivanje]",https://olx.ba/artikal/71516872,720.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,1.0,41.0,Namješten,1,Struja,17.5609756097561
Stan Sarajevo - Novo Sarajevo 52m2 Telefon: 061-525-507 - [Iznajmljivanje],https://olx.ba/artikal/71696171,750.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,52.0,Namješten,9,Struja,14.423076923076923
"PROSTOR izdaje: Dvosoban stan, Bistrik - [Iznajmljivanje]",https://olx.ba/artikal/69888167,750.0,Sarajevo - Stari Grad,Dobro stanje,Iznajmljivanje,Stan,2.0,45.0,Namješten,1,Plin,16.666666666666668
"Renoviran dvosoban stan, Koševsko brdo, Ciglane, Centar - [Iznajmljivanje]",https://olx.ba/artikal/71300575,750.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,2.0,47.0,Namješten,1,Centralno (Plin),15.95744680851064
m2: Grbavica / dvosoban stan 62m2 - [Iznajmljivanje],https://olx.ba/artikal/71568538,750.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,62.0,Namješten,4,Centralno (gradsko),12.096774193548388
Dvosoban stan - Novo Sarajevo - Grbavica - 54 m2 - [Iznajmljivanje],https://olx.ba/artikal/71772355,750.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,54.0,Namješten,6,Struja,13.88888888888889
Trosoban stan za iznajmljivanje - [Iznajmljivanje],https://olx.ba/artikal/71076678,750.0,Ilidža,Dobro stanje,Iznajmljivanje,Stan,3.0,60.0,Namješten,0,Plin,12.5
"Svijetao i namješten trosoban stan, Grbavica - [Iznajmljivanje]",https://olx.ba/artikal/70071217,750.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,3.0,53.0,Namješten,1,Centralno (Plin),14.150943396226417
Dvosoban stan - Novo Sarajevo - Grbavica - 47 m2 - [Iznajmljivanje],https://olx.ba/artikal/69342092,750.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,47.0,Namješten,1,Struja,15.95744680851064
Stan Grbavica 52m2 - [Iznajmljivanje],https://olx.ba/artikal/71473363,750.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,52.0,Namješten,0,Struja,14.423076923076923
Trosoban stan Kovačići - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71045481,750.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,3.0,75.0,Namješten,1,Struja,10.0
"PROSTOR izdaje: Trosoban stan, Aerodromsko naselje - [Iznajmljivanje]",https://olx.ba/artikal/71026317,750.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,3.0,100.0,Polunamješten,0,Ostalo,7.5
Trosoban stan Kovačići - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71045054,750.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,3.0,75.0,Namješten,0,Struja,10.0
Stan Sarajevo - Novi Grad - Dobrinja NOVOGRADNJA - [Iznajmljivanje],https://olx.ba/artikal/71839422,750.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,,38.0,Namješten,5,Centralno (gradsko),19.73684210526316
Stan NOVA DOBRINJA 57m2 Dobrinja 4 NOVO - [Iznajmljivanje],https://olx.ba/artikal/70646956,750.0,Ilidža,Novogradnja,Iznajmljivanje,Stan,3.0,57.0,Namješten,6,Centralno (gradsko),13.157894736842104
"Lijepo uređen trosoban stan s parkingom, Mejtaš, Centar - [Iznajmljivanje]",https://olx.ba/artikal/71610615,750.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,3.0,68.0,Namješten,2,Centralno (Plin),11.029411764705882
Malta - Sarajevo 69m2 - [Iznajmljivanje],https://olx.ba/artikal/70462012,750.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,3.0,69.0,Namješten,5,Centralno (gradsko),10.869565217391305
Jednosoban namješten stan / Hamdije Čemerlića / Pofalići - [Iznajmljivanje],https://olx.ba/artikal/71543644,750.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,1.0,40.0,Namješten,10,Centralno (gradsko),18.75
MY SPACE/ Stan/ Kovači/ RENOVIRAN/ NAMJESTEN/ 25 m2 - [Iznajmljivanje],https://olx.ba/artikal/69662331,750.0,Sarajevo - Stari Grad,Renoviran,Iznajmljivanje,Stan,,25.0,Namješten,0,Struja,30.0
"Svijetao i namješten dvoiposoban stan, Grbavica - [Iznajmljivanje]",https://olx.ba/artikal/71707604,750.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,56.0,Namješten,4,Centralno (gradsko),13.392857142857142
Stan Grbavica - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71537057,750.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,54.0,Namješten,6,Struja,13.88888888888889
