url,latitude,longitude
https://olx.ba/artikal/70659274,43.839483,18.323259
https://olx.ba/artikal/71668385,43.844023,18.347966
https://olx.ba/artikal/71873411,43.850834,18.379667
https://olx.ba/artikal/71861173,,
https://olx.ba/artikal/68843574,,
https://olx.ba/artikal/67704613,43.868176,18.434055
https://olx.ba/artikal/71722912,43.839086,18.324162
https://olx.ba/artikal/70637625,,
https://olx.ba/artikal/71211508,,
https://olx.ba/artikal/70861429,43.844638,18.382004
https://olx.ba/artikal/70680891,43.830618,18.307736
https://olx.ba/artikal/70811841,43.868402,18.423639
https://olx.ba/artikal/71510250,,
https://olx.ba/artikal/71611519,43.858221,18.409832
https://olx.ba/artikal/69833471,43.860365,18.434471
https://olx.ba/artikal/69559989,,
https://olx.ba/artikal/71804760,43.853908,18.383067
https://olx.ba/artikal/71627129,43.878172,18.415991
https://olx.ba/artikal/71428627,43.849893,18.391119
https://olx.ba/artikal/71597622,,
https://olx.ba/artikal/71457953,43.841149,18.343388
https://olx.ba/artikal/71729902,43.831929,18.308509
https://olx.ba/artikal/71376118,43.858893,18.399583
https://olx.ba/artikal/64213062,,
https://olx.ba/artikal/71814351,43.881809,18.3961
https://olx.ba/artikal/71820105,43.851098,18.395125
https://olx.ba/artikal/67855621,43.858674,18.434925
https://olx.ba/artikal/71487493,,
https://olx.ba/artikal/71783243,43.850831,18.38909
https://olx.ba/artikal/71243329,,
https://olx.ba/artikal/65373211,43.867136,18.424612
https://olx.ba/artikal/71707797,,
https://olx.ba/artikal/71857795,43.845074,18.348157
https://olx.ba/artikal/71602441,43.867551,18.424717
https://olx.ba/artikal/71512721,43.856335,18.411308
https://olx.ba/artikal/71588275,43.861309,18.413862
https://olx.ba/artikal/71674394,,
https://olx.ba/artikal/70905488,43.841122,18.343408
https://olx.ba/artikal/37126193,43.83234,18.345917
https://olx.ba/artikal/71816461,43.832796,18.344123
https://olx.ba/artikal/71847424,,
https://olx.ba/artikal/71822741,43.858893,18.399583
https://olx.ba/artikal/59848352,43.826696,18.359935
https://olx.ba/artikal/69888167,,
https://olx.ba/artikal/71516872,43.870395,18.405835
https://olx.ba/artikal/71696171,43.851252,18.389545
https://olx.ba/artikal/71300575,43.869736,18.406889
https://olx.ba/artikal/71568538,,
https://olx.ba/artikal/71772355,43.848587,18.389919
https://olx.ba/artikal/70071217,43.848962,18.38971
https://olx.ba/artikal/69342092,,
https://olx.ba/artikal/71473363,43.848962,18.38971
https://olx.ba/artikal/71026317,43.829212,18.326367
https://olx.ba/artikal/71045481,43.848231,18.399627
https://olx.ba/artikal/71076678,,
https://olx.ba/artikal/71045054,43.848245,18.399611
https://olx.ba/artikal/71610615,,
https://olx.ba/artikal/71839422,43.829878,18.334079
https://olx.ba/artikal/70646956,43.827596,18.357962
https://olx.ba/artikal/70462012,43.853833,18.380894
https://olx.ba/artikal/69662331,,
https://olx.ba/artikal/71707604,43.850031,18.393649
https://olx.ba/artikal/71543644,,
https://olx.ba/artikal/71537057,43.852711,18.378604
https://olx.ba/artikal/71516955,43.854936,18.388741
https://olx.ba/artikal/71657797,,
https://olx.ba/artikal/71800123,,
https://olx.ba/artikal/71452975,43.867466,18.415285
https://olx.ba/artikal/66673219,,
https://olx.ba/artikal/69099866,43.873382,18.412988
https://olx.ba/artikal/71391646,,
https://olx.ba/artikal/69992293,43.869334,18.451385
https://olx.ba/artikal/71574410,43.855957,18.432533
https://olx.ba/artikal/71026586,,
https://olx.ba/artikal/69231197,,
https://olx.ba/artikal/71790317,43.87102,18.405571
https://olx.ba/artikal/71790297,43.840942,18.328686
https://olx.ba/artikal/71852965,,
https://olx.ba/artikal/71616907,43.849951,18.362701
https://olx.ba/artikal/70583662,43.862915,18.416175
https://olx.ba/artikal/70974754,,
https://olx.ba/artikal/71811814,43.82935,18.358322
https://olx.ba/artikal/63708398,,
https://olx.ba/artikal/71722942,43.860351,18.412694
https://olx.ba/artikal/66856968,43.848962,18.38971
https://olx.ba/artikal/71369685,,
https://olx.ba/artikal/71844335,,
https://olx.ba/artikal/71768204,43.846261,18.383533
https://olx.ba/artikal/67163108,43.855535,18.418677
https://olx.ba/artikal/71515106,43.8554,18.419772
https://olx.ba/artikal/69988195,,
https://olx.ba/artikal/71769887,43.862145,18.417377
https://olx.ba/artikal/71587369,43.855092,18.421858
https://olx.ba/artikal/63842283,,
https://olx.ba/artikal/66992779,43.829416,18.344238
https://olx.ba/artikal/71733419,43.855381,18.417634
https://olx.ba/artikal/71511311,,
https://olx.ba/artikal/71846334,43.859868,18.412827
https://olx.ba/artikal/70506770,,
https://olx.ba/artikal/71516340,43.857881,18.405015
https://olx.ba/artikal/71382633,43.855984,18.42144
https://olx.ba/artikal/71409684,,
https://olx.ba/artikal/69707740,,
https://olx.ba/artikal/71578963,43.868292,18.406979
https://olx.ba/artikal/71283279,43.848813,18.399619
https://olx.ba/artikal/71218575,43.854236,18.380584
https://olx.ba/artikal/71684022,43.831212,18.337477
https://olx.ba/artikal/71696087,43.827811,18.341987
https://olx.ba/artikal/71478663,,
https://olx.ba/artikal/71794163,43.858892,18.403156
https://olx.ba/artikal/67010587,43.859981,18.426991
https://olx.ba/artikal/71514077,,
https://olx.ba/artikal/71343420,,
https://olx.ba/artikal/70025604,43.850166,18.360724
https://olx.ba/artikal/71008759,43.856095,18.41208
https://olx.ba/artikal/71673713,43.851559,18.394137
https://olx.ba/artikal/41473559,,
https://olx.ba/artikal/71855333,,
https://olx.ba/artikal/71586789,,
https://olx.ba/artikal/71641090,43.851123,18.397705
https://olx.ba/artikal/71666594,,
https://olx.ba/artikal/69429716,43.854164,18.380676
https://olx.ba/artikal/69108981,,
https://olx.ba/artikal/71738748,43.858504,18.404823
https://olx.ba/artikal/71122202,43.824535,18.350028
https://olx.ba/artikal/71409838,43.867177,18.408073
https://olx.ba/artikal/71817637,,
https://olx.ba/artikal/60357996,43.870368,18.421102
https://olx.ba/artikal/70897345,,
https://olx.ba/artikal/68436034,43.840637,18.325899
https://olx.ba/artikal/70709161,,
https://olx.ba/artikal/71645279,,
https://olx.ba/artikal/71855052,,
https://olx.ba/artikal/70623211,43.847408,18.242184
https://olx.ba/artikal/71767177,,
https://olx.ba/artikal/71731667,,
https://olx.ba/artikal/70708613,,
https://olx.ba/artikal/60252708,43.866185,18.431289
https://olx.ba/artikal/69926280,43.855142,18.414237
https://olx.ba/artikal/63660327,43.854753,18.430196
https://olx.ba/artikal/70404121,,
https://olx.ba/artikal/71759396,,
https://olx.ba/artikal/71853925,43.863922,18.415997
https://olx.ba/artikal/70922168,43.855472,18.408615
https://olx.ba/artikal/71559225,,
https://olx.ba/artikal/70278073,43.854735,18.416626
https://olx.ba/artikal/71789950,43.84794,18.361091
https://olx.ba/artikal/69655902,43.840168,18.32466
https://olx.ba/artikal/70199655,43.849764,18.366097
https://olx.ba/artikal/71390229,,
https://olx.ba/artikal/69836625,,
https://olx.ba/artikal/69723488,,
https://olx.ba/artikal/70230188,,
https://olx.ba/artikal/70222647,43.868748,18.423644
https://olx.ba/artikal/68282593,43.85991,18.4095
https://olx.ba/artikal/69183515,,
https://olx.ba/artikal/40476803,43.85994,18.427069
https://olx.ba/artikal/70446263,43.847026,18.377879
https://olx.ba/artikal/71612979,43.8582,18.426182
https://olx.ba/artikal/71705229,,
https://olx.ba/artikal/71537595,,
https://olx.ba/artikal/70065411,43.856121,18.432776
https://olx.ba/artikal/58051871,43.828616,18.330289
https://olx.ba/artikal/71415650,43.830618,18.307736
https://olx.ba/artikal/71440429,43.847991,18.370027
https://olx.ba/artikal/71813695,,
https://olx.ba/artikal/71853275,43.853687,18.371228
https://olx.ba/artikal/71736437,,
https://olx.ba/artikal/69626127,43.860558,18.411362
https://olx.ba/artikal/69435001,,
https://olx.ba/artikal/68636646,43.839512,18.326602
https://olx.ba/artikal/71599327,43.831929,18.308509
https://olx.ba/artikal/69463147,,
https://olx.ba/artikal/71715956,,
https://olx.ba/artikal/68599529,43.858067,18.406764
https://olx.ba/artikal/70984819,43.849707,18.360448
https://olx.ba/artikal/65833471,,
https://olx.ba/artikal/70121167,43.855026,18.377193
https://olx.ba/artikal/71746579,43.842478,18.332947
https://olx.ba/artikal/69157041,,
https://olx.ba/artikal/69262480,43.848679,18.380615
https://olx.ba/artikal/65202917,,
https://olx.ba/artikal/71686311,43.849848,18.360413
https://olx.ba/artikal/63991995,,
https://olx.ba/artikal/70852743,,
https://olx.ba/artikal/71538883,43.86033,18.388792
https://olx.ba/artikal/68827444,43.844883,18.372454
https://olx.ba/artikal/71069786,43.856137,18.412393
https://olx.ba/artikal/71296408,,
https://olx.ba/artikal/71578345,43.854301,18.420813
https://olx.ba/artikal/71730534,,
https://olx.ba/artikal/71461186,43.848388,18.386256
https://olx.ba/artikal/70570116,43.851139,18.405826
https://olx.ba/artikal/71583744,43.856003,18.423469
https://olx.ba/artikal/69704808,,
https://olx.ba/artikal/71546357,43.861602,18.423185
https://olx.ba/artikal/56774889,43.862736,18.422497
https://olx.ba/artikal/70904162,43.858315,18.422472
https://olx.ba/artikal/71657392,,
https://olx.ba/artikal/70589022,43.861898,18.423491
https://olx.ba/artikal/66500421,43.829885,18.30708
https://olx.ba/artikal/70788789,43.856713,18.38283
https://olx.ba/artikal/71523263,,
https://olx.ba/artikal/64742333,43.870847,18.419476
https://olx.ba/artikal/71722435,,
https://olx.ba/artikal/70863810,,
https://olx.ba/artikal/71045076,43.849669,18.386342
https://olx.ba/artikal/71766893,43.857928,18.42038
https://olx.ba/artikal/71399733,43.861518,18.423666
https://olx.ba/artikal/71154341,,
https://olx.ba/artikal/71611287,43.86173,18.42362
https://olx.ba/artikal/71177533,,
https://olx.ba/artikal/66027294,43.859366,18.402236
https://olx.ba/artikal/70484433,43.854936,18.388741
https://olx.ba/artikal/71427300,,
https://olx.ba/artikal/71171730,43.856504,18.383035
https://olx.ba/artikal/71634049,43.850533,18.392106
https://olx.ba/artikal/70584036,,
https://olx.ba/artikal/71740738,43.857674,18.415886
https://olx.ba/artikal/39856678,43.85402,18.388188
